agent,game_num,score,record,mean_score
DQN,585,27,55,19.851
Random,3759,1,2,0.132
Random,3760,0,2,0.132
BFS,254,45,88,51.610
Random,3761,0,2,0.132
Random,3762,0,2,0.132
Random,3763,0,2,0.132
Random,3764,0,2,0.132
Random,3765,0,2,0.132
DQN,586,18,55,19.848
Random,3766,0,2,0.132
Random,3767,1,2,0.132
BFS,255,22,88,51.494
Random,3768,0,2,0.132
DQN,587,11,55,19.833
A*,259,42,90,50.931
Random,3769,0,2,0.132
DQN,588,9,55,19.815
Random,3770,0,2,0.132
Random,3771,0,2,0.132
Random,3772,0,2,0.132
Random,3773,0,2,0.132
Random,3774,0,2,0.132
Random,3775,0,2,0.132
DQN,589,29,55,19.830
BFS,256,46,88,51.473
DQN,590,8,55,19.810
Random,3776,0,2,0.132
Random,3777,0,2,0.132
A*,260,53,90,50.938
Random,3778,0,2,0.132
Random,3779,0,2,0.132
Random,3780,0,2,0.131
Random,3781,0,2,0.131
Random,3782,0,2,0.131
Random,3783,0,2,0.131
Random,3784,0,2,0.131
DQN,591,37,55,19.839
A*,261,38,90,50.889
Random,3785,0,2,0.131
Random,3786,0,2,0.131
DQN,592,22,55,19.843
Random,3787,0,2,0.131
Random,3788,0,2,0.131
Random,3789,0,2,0.131
Random,3790,0,2,0.131
Random,3791,0,2,0.131
BFS,257,67,88,51.533
Random,3792,1,2,0.131
Random,3793,0,2,0.131
Random,3794,0,2,0.131
Random,3795,0,2,0.131
Random,3796,0,2,0.131
DQN,593,30,55,19.860
A*,262,43,90,50.859
Random,3797,0,2,0.131
Random,3798,0,2,0.131
Random,3799,0,2,0.131
Random,3800,0,2,0.131
Random,3801,0,2,0.131
Random,3802,0,2,0.131
Random,3803,0,2,0.131
Random,3804,0,2,0.131
Random,3805,0,2,0.131
BFS,258,47,88,51.516
Random,3806,0,2,0.131
DQN,594,32,55,19.880
Random,3807,0,2,0.131
Random,3808,0,2,0.131
Random,3809,0,2,0.131
Random,3810,0,2,0.131
A*,263,45,90,50.837
Random,3811,0,2,0.131
Random,3812,0,2,0.131
Random,3813,0,2,0.131
DQN,595,23,55,19.886
Random,3814,0,2,0.131
Random,3815,0,2,0.131
Random,3816,0,2,0.131
Random,3817,0,2,0.130
Random,3818,0,2,0.130
BFS,259,51,88,51.514
Random,3819,0,2,0.130
Random,3820,0,2,0.130
DQN,596,29,55,19.901
Random,3821,0,2,0.130
Random,3822,0,2,0.130
Random,3823,0,2,0.130
Random,3824,0,2,0.130
Random,3825,0,2,0.130
BFS,260,30,88,51.431
Random,3826,0,2,0.130
Random,3827,0,2,0.130
DQN,597,31,55,19.920
Random,3828,0,2,0.130
A*,264,78,90,50.939
Random,3829,0,2,0.130
Random,3830,0,2,0.130
Random,3831,0,2,0.130
Random,3832,0,2,0.130
Random,3833,0,2,0.130
BFS,261,38,88,51.379
Random,3834,0,2,0.130
DQN,598,27,55,19.931
Random,3835,0,2,0.130
Random,3836,0,2,0.130
Random,3837,0,2,0.130
Random,3838,0,2,0.130
Random,3839,0,2,0.130
Random,3840,0,2,0.130
Random,3841,0,2,0.130
Random,3842,0,2,0.130
Random,3843,0,2,0.130
Random,3844,0,2,0.130
A*,265,53,90,50.947
Random,3845,0,2,0.130
Random,3846,0,2,0.129
Random,3847,0,2,0.129
DQN,599,43,55,19.970
Random,3848,0,2,0.129
Random,3849,0,2,0.129
BFS,262,56,88,51.397
Random,3850,0,2,0.129
Random,3851,0,2,0.129
Random,3852,0,2,0.129
Random,3853,1,2,0.130
Random,3854,0,2,0.129
Random,3855,0,2,0.129
Random,3856,0,2,0.129
Random,3857,0,2,0.129
Random,3858,1,2,0.130
Random,3859,0,2,0.130
DQN,600,46,55,20.013
Random,3860,0,2,0.130
Random,3861,0,2,0.130
Random,3862,0,2,0.129
Random,3863,0,2,0.129
DQN,601,18,55,20.010
BFS,263,48,88,51.384
Random,3864,0,2,0.129
Random,3865,0,2,0.129
Random,3866,1,2,0.130
Random,3867,0,2,0.130
Random,3868,0,2,0.130
Random,3869,0,2,0.129
Random,3870,0,2,0.129
Random,3871,1,2,0.130
DQN,602,24,55,20.017
Random,3872,0,2,0.130
Random,3873,0,2,0.130
Random,3874,0,2,0.130
A*,266,86,90,51.079
Random,3875,0,2,0.130
Random,3876,0,2,0.130
Random,3877,0,2,0.129
Random,3878,0,2,0.129
Random,3879,0,2,0.129
Random,3880,0,2,0.129
Random,3881,1,2,0.130
Random,3882,0,2,0.130
BFS,264,58,88,51.409
Random,3883,0,2,0.130
Random,3884,0,2,0.130
DQN,603,41,55,20.051
Random,3885,0,2,0.129
Random,3886,0,2,0.129
Random,3887,0,2,0.129
Random,3888,0,2,0.129
Random,3889,0,2,0.129
A*,267,53,90,51.086
Random,3890,0,2,0.129
Random,3891,0,2,0.129
DQN,604,33,55,20.073
Random,3892,1,2,0.129
Random,3893,0,2,0.129
Random,3894,0,2,0.129
Random,3895,0,2,0.129
Random,3896,0,2,0.129
Random,3897,0,2,0.129
BFS,265,59,88,51.438
Random,3898,0,2,0.129
Random,3899,0,2,0.129
Random,3900,0,2,0.129
Random,3901,0,2,0.129
Random,3902,1,2,0.129
DQN,605,29,55,20.088
Random,3903,0,2,0.129
Random,3904,0,2,0.129
Random,3905,0,2,0.129
BFS,266,33,88,51.368
Random,3906,0,2,0.129
Random,3907,0,2,0.129
DQN,606,21,55,20.089
Random,3908,0,2,0.129
Random,3909,0,2,0.129
A*,268,63,90,51.131
Random,3910,0,2,0.129
Random,3911,0,2,0.129
DQN,607,19,55,20.087
Random,3912,0,2,0.129
Random,3913,0,2,0.129
Random,3914,0,2,0.129
Random,3915,0,2,0.129
Random,3916,1,2,0.129
Random,3917,0,2,0.129
DQN,608,23,55,20.092
Random,3918,0,2,0.129
BFS,267,44,88,51.341
Random,3919,0,2,0.129
Random,3920,0,2,0.129
Random,3921,0,2,0.129
Random,3922,1,2,0.129
Random,3923,0,2,0.129
Random,3924,0,2,0.129
